Laptop_ID,Laptop,Status,Brand,Model,CPU,RAM,Storage,Storage type,GPU,Screen,Touch,Final Price (LKR),Region
LNK-0001,HP Pavilion 15,Used,HP,Pavilion 15,Intel Core Ultra 7 155H,16GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4060,"14.0"" FHD",No,245000,Anuradhapura
LNK-0002,HP OMEN 16,Refurbished,HP,OMEN 16,Intel Core i5-1235U,8GB,256GB,SSD NVMe,Intel Graphics,"15.6"" FHD 60Hz",No,97000,Jaffna
LNK-0003,Lenovo Yoga 7i,Used,Lenovo,Yoga 7i,AMD Ryzen 7 7730U,16GB,2TB,SSD NVMe,NVIDIA GeForce RTX 3050,"15.6"" FHD 144Hz",Yes,171500,Negombo
LNK-0004,Dell Vostro 3520,Refurbished,Dell,Vostro 3520,AMD Ryzen 5 5500U,32GB,512GB,SSD NVMe,Intel Graphics,"16.0"" WQXGA 165Hz",No,140000,Anuradhapura
LNK-0005,Apple MacBook Pro M3 Max,Refurbished,Apple,MacBook Pro M3 Max,Apple M1 (8-core),16GB,256GB,SSD NVMe,Apple M1 Integrated,"14.0"" QHD 120Hz",No,164000,Negombo
LNK-0006,Acer TravelMate P2,Used,Acer,TravelMate P2,AMD Ryzen 5 7520U,16GB,256GB,SSD NVMe,Intel Iris Xe Graphics,"15.6"" FHD 60Hz",No,94500,Negombo
LNK-0007,Lenovo IdeaPad Slim 3,Refurbished,Lenovo,IdeaPad Slim 3,Intel Core Ultra 7 155H,64GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4060,"16.0"" WQXGA 165Hz",No,394000,Colombo
LNK-0008,HP OMEN 16,Used,HP,OMEN 16,Intel Core i7-14700HX,16GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4080,"16.0"" UHD+ OLED",No,343500,Kandy
LNK-0009,Samsung Galaxy Book3,Used,Samsung,Galaxy Book3,AMD Ryzen 5 5500U,8GB,512GB,SSD NVMe,Intel Iris Xe Graphics,"16.0"" WQXGA 165Hz",No,79000,Negombo
LNK-0010,Microsoft Surface Laptop Studio 2,Refurbished,Microsoft,Surface Laptop Studio 2,Intel Core i9-14900HX,64GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4090,"17.3"" QHD 240Hz",Yes,696500,Negombo
LNK-0011,Lenovo Yoga 7i,Used,Lenovo,Yoga 7i,Intel Core Ultra 7 155H,64GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4070,"15.6"" FHD 60Hz",Yes,355000,Negombo
LNK-0012,HP EliteBook 840,New,HP,EliteBook 840,Intel Core i7-13620H,16GB,512GB,SSD NVMe,Intel Iris Xe Graphics,"14.0"" FHD",No,223000,Negombo
LNK-0013,Gigabyte Aero 14 OLED,Refurbished,Gigabyte,Aero 14 OLED,Intel Core i3-1215U,8GB,1TB,eMMC,AMD Radeon Graphics,"14.0"" FHD",No,90000,Jaffna
LNK-0014,ASUS ExpertBook B1,Used,ASUS,ExpertBook B1,Intel Core Ultra 7 155H,16GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4070,"15.6"" FHD 60Hz",No,272000,Galle
LNK-0015,Samsung Galaxy Book4 Ultra,New,Samsung,Galaxy Book4 Ultra,AMD Ryzen 5 5500U,64GB,256GB,SSD NVMe,Intel Iris Xe Graphics,"16.0"" WQXGA 165Hz",No,247000,Colombo
